No_,Name,Search Name,Name 2,Address,Address 2,City,Contact,Phone No_,Telex No_,Document Sending Profile,Ship-to Code,Our Account No_,Territory Code,Global Dimension 1 Code,Global Dimension 2 Code,Chain Name,Budgeted Amount,Credit Limit (LCY),Customer Posting Group,Currency Code,Customer Price Group,Language Code,Registration Number,Statistics Group,Payment Terms Code,Fin_ Charge Terms Code,Salesperson Code,Shipment Method Code,Shipping Agent Code,Place of Export,Invoice Disc_ Code,Customer Disc_ Group,Country_Region Code,Collection Method,Amount,Blocked,Invoice Copies,Last Statement No_,Print Statements,Bill-to Customer No_,Priority,Payment Method Code,Format Region,Last Modified Date Time,Last Date Modified,Application Method,Prices Including VAT,Location Code,Fax No_,Telex Answer Back,VAT Registration No_,Combine Shipments,Gen_ Bus_ Posting Group,Picture,GLN,Post Code,County,EORI Number,Use GLN in Electronic Document,E-Mail,Home Page,Reminder Terms Code,No_ Series,Tax Area Code,Tax Liable,VAT Bus_ Posting Group,Reserve,Block Payment Tolerance,IC Partner Code,Prepayment _,Partner Type,Intrastat Partner Type,Exclude from Pmt_ Practices,Image,Privacy Blocked,Disable Search by Name,Allow Multiple Posting Groups,Preferred Bank Account Code,Coupled to CRM,Cash Flow Payment Terms Code,Primary Contact No_,Contact Type,Mobile Phone No_,Responsibility Center,Shipping Advice,Shipping Time,Shipping Agent Service Code,Service Zone Code,Price Calculation Method,Allow Line Disc_,Base Calendar Code,Copy Sell-to Addr_ to Qte From,Validate EU Vat Reg_ No_,Id,Currency Id,Payment Terms Id,Shipment Method Id,Payment Method Id,Tax Area ID,Contact ID,Contact Graph Id,$systemId,$systemCreatedAt,$systemCreatedBy,$systemModifiedAt,$systemModifiedBy
25063TP,บริษัท นิวเมืองทอง เฟอร์นิเทค จำกัด,บริษัท นิวเมืองทอง เฟอร์นิเทค จำกัด,,139/2 หมู่ที่ 10,,อำเภอบางพลี,คุณนันทิยา รัตนชินชัย,"02 312-1712-5, 02 750-8043-5",,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20816,1,,,25063TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.673+00,2024-06-05 00:00:00+00,0,0,,02 312-1711,,0115548005676,0,P,,,10540,จังหวัดสมุทรปราการ,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,"02 312-1712-5, 02 750-8043-5",,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,55ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.513+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.68+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25065TR,บริษัท นิวนัมเบอร์วันกระจกและอลูมิเนียม จำกัด,บริษัท นิวนัมเบอร์วันกระจกและอลูมิเนียม จำกัด,,125/17 หมู่ที่ 11 ถนนพุทธสาคร,,อำเภอกระทุ่มแบน,คุณณัฐพงศ์ อรุณแสงสุรีย์,"02 431-2521, 081 572-2885",,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,15,,,1,,,25065TR,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.7+00,2024-06-05 00:00:00+00,0,0,,02 431-2522,,0745554000618,0,W,,,74130,จังหวัดสมุทรสาคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,081 440-0522,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,881438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,5BED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.517+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.707+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25066TS,บริษัท นัฐวิทย์ การช่าง จำกัด,บริษัท นัฐวิทย์ การช่าง จำกัด,,"5 ซอยประชาร่วมใจ 29 ถนนประชาร่วมใจ ",,เขตคลองสามวา,คุณบรรจบ สุขกลั่น,"02 543-7911,081-5621917",,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20785,1,,,25066TS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.723+00,2024-06-05 00:00:00+00,0,0,,02 916-9328,,0105539027425,0,P,,,10510,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,02 543-7911,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,61ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.523+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.73+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25067TP,บริษัท นีโอกลาส จำกัด,บริษัท นีโอกลาส จำกัด,,170/34 หมู่ที่ 17 ถนนศาลาธรรมสพน์,,เขตทวีวัฒนา,คุณพีรยุทธ เกียรตุมาพันธ์,02 448-0158  / 089-2032307,,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,60,,10387,1,,,25067TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.747+00,2024-06-05 00:00:00+00,0,0,,02 885-2294,,0105539025511,0,P,,,10170,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,02 448-0158,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,971438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,67ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.53+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.757+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25068TS,บริษัท ราลฟ์ อาคิเทคเจอร์แอนด์อินทีเรียดีไซน์ จำกัด,บริษัท ราลฟ์ อาคิเทคเจอร์แอนด์อินทีเรียดีไซน์ จำกัด,,29/592 ถนนประดิษฐ์มนูธรรม,,เขตบึงกุ่ม,,,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20785,1,,,25068TS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.78+00,2024-06-05 00:00:00+00,0,0,,,,0105560188220,0,S,,,10230,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,6DED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.537+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.787+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25069TR,ห้างหุ้นส่วนจำกัด เนชั่นบอร์ด แอนด์ มีเดีย จำกัด (ประเทศไทย),ห้างหุ้นส่วนจำกัด เนชั่นบอร์ด แอนด์ มีเดีย จำกัด (ประเทศไทย),,"618 ซอยเพชรเกษม 48 แยก 4-7  ",,เขตภาษีเจริญ,,,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,,1,,,25069TR,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.8+00,2024-06-05 00:00:00+00,0,0,,,,0103522006690,0,O,,,10160,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,73ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.543+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.807+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25071TP,บริษัท นิวแสงทอง เซอร์วิส จำกัด,บริษัท นิวแสงทอง เซอร์วิส จำกัด,,"14,16,18 ซอยสุขสวัสดิ์ 16 ถนนสุขสวัสดิ์",,เขตจอมทอง,คุณเพ็ญจันทร์ พวงต้น,0-2877-0686,,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,60,,20816,2,,,25071TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.823+00,2024-06-05 00:00:00+00,0,0,,0-2877-1268,,0105539038109,0,P,,,10150,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,0-2877-0686,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,971438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,79ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.55+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.83+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25072TR,ห้างหุ้นส่วนจำกัด นนทกิจเจริญ,ห้างหุ้นส่วนจำกัด นนทกิจเจริญ,,61/78 หมู่ที่ 5 ซอยทวีวัฒนา 9,,เขตทวีวัฒนา,,"0-2814-3429, 086-677-3599",,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,,1,,,25072TR,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.847+00,2024-06-05 00:00:00+00,0,0,,,,0103537016394,0,O,,,10170,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,7FED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.553+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.853+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25073TN,คุณ นุกูล บัณฑิต,คุณ นุกูล บัณฑิต,,31 หมู่ที่ 12,,อำเภอเฝ้าไร่,คุณนุกูล บัณฑิต,,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20800,1,,,25073TN,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.87+00,2024-06-05 00:00:00+00,0,0,,,,3403500563552,0,O,,,43120,จังหวัดหนองคาย,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,85ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.56+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.877+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25074TN,ห้างหุ้นส่วนจำกัด นิวพาวเวอร์ ซัพพลาย,ห้างหุ้นส่วนจำกัด นิวพาวเวอร์ ซัพพลาย,,117/3-4 ถนนเจริญกรุง,,เขตพระนคร,,,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20117,1,,,25074TN,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.89+00,2024-06-05 00:00:00+00,0,0,,,,0103548025284,0,O,,,10200,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,8BED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.567+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.897+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25075TP,บริษัท นิวพีแอนด์เจ เฟอร์นิท 2012 จำกัด,บริษัท นิวพีแอนด์เจ เฟอร์นิท 2012 จำกัด,,6/5 หมุ่ที่ 1,,อำเภอสามพราน,คุณสมจิตร ชนินทรพิพัฒ,"089-254-3112, 089-919-1248",,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20028,2,,,25075TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.913+00,2024-06-05 00:00:00+00,0,0,,034-393713,,0735555003220,0,,,,73210,จังหวัดนครปฐม,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,"08-1918-7945,034-393714",,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,91ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.573+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.92+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25076TP,บริษัท แนชั่นแนลเฟอร์นิเจอร์ จำกัด,บริษัท แนชั่นแนลเฟอร์นิเจอร์ จำกัด,,16 ถนนร่มเกล้า,,เขตลาดกระบัง,คุณกิตติ เริ่มเจริญดี,"02-9150066  ",,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,60,,20816,2,,,25076TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.937+00,2024-06-05 00:00:00+00,0,0,,0-2543-9184,,0105553142775,0,P,,,10520,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,0-2543-9969-70,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,971438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,97ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.58+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.947+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25078TP,บริษัท นอร์มมี ไอดีเอ็ม จำกัด,บริษัท นอร์มมี ไอดีเอ็ม จำกัด,,"7 ซอยงามวงศ์วาน 19 แยก 1 ",,อำเภอเมืองนนทบุรี,คุณวรินทร พงษ์สุทธิมนัส,0-2591-9188-89,,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20816,2,,,25078TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.963+00,2024-06-05 00:00:00+00,0,0,,0-2591-9190,,0105543094271,0,P,,,11000,จังหวัดนนทบุรี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,0-2278-1009,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,9DED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.587+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.97+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25078TS,บริษัท เรดิคอน จำกัด,บริษัท เรดิคอน จำกัด,,16/1 หมู่ที่ 2 ถนนสุวินทวงศ์,,เขตหนองจอก,,02-989-4521,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20785,1,,,25078TS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:11.987+00,2024-06-05 00:00:00+00,0,0,,,,0105521015239,0,R,,,10530,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,A3ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.59+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:11.993+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25079TS,บริษัท น้อมจิตต์ อินคอร์เปอเรชั่น จำกัด (มหาชน),บริษัท น้อมจิตต์ อินคอร์เปอเรชั่น จำกัด (มหาชน),,3105 ถนนลาดพร้าว,,เขตบางกะปิ,คุณอนันต์ จิตรมีศิลป์,02-374-0374,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,21094,2,,,25079TS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:12.01+00,2024-06-05 00:00:00+00,0,0,,02-375-3223,,0107559000192,0,R,,,10240,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,02-374-0374,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,A9ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.597+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:12.02+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25080TS,บริษัท นาขวัญ ก่อสร้าง จำกัด,บริษัท นาขวัญ ก่อสร้าง จำกัด,,8/15 ถนนไทยรามัญ,,เขตคลองสามวา,คุณวินิต  พรหมประโคน,"02-376-8050,083-1335323 ",,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20785,2,,,25080TS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:12.037+00,2024-06-05 00:00:00+00,0,0,,0-3376-8050 - 18,,0105555091469,0,S,,,10510,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,AFED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.603+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:12.043+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25081TN,นาย นันทวัฒน์ เฉียบแหลม,นาย นันทวัฒน์ เฉียบแหลม,,47 ซอยบางแวก124,,เขตบางแค,,,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20800,1,,,25081TN,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:12.057+00,2024-06-05 00:00:00+00,0,0,,,,3102200403945,0,S,,,10160,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,B5ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.61+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:12.063+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25082TP,บริษัท โนเบิล ลิฟวิ่ง จำกัด,บริษัท โนเบิล ลิฟวิ่ง จำกัด,,99 ซอย O1 กาญจนาภิเษก 39 แยก 12,,เขตประเวศ,,,,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20939,1,,,25082TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:12.08+00,2024-06-05 00:00:00+00,0,0,,,,0105562082674,0,,,,10250,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,BBED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.613+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:12.087+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25083TP,นาย นิกร กิ่งพิกุล,นาย นิกร กิ่งพิกุล,,5 หมู่ที่ 3,,อำเภอท่าวุ้ง,,,,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20093,1,,,25083TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:12.1+00,2024-06-05 00:00:00+00,0,0,,,,3160500158642,0,,,,15150,จังหวัดลพบุรี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,C1ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.62+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:12.107+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25084TR,นาย นิกร ชาวม่วงขวัญ,นาย นิกร ชาวม่วงขวัญ,,41/1 หมู่ที่ 1,,อำเภอเมืองสมุทรสาคร,,,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20614,1,,,25084TR,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:12.123+00,2024-06-05 00:00:00+00,0,0,,,,3740100067039,0,S,,,74000,จังหวัดสมุทรสาคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,C7ED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.627+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:12.13+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
25087TP,บริษัท นีโน่ แทรป เฮาส์ สตูดิโอ จำกัด,บริษัท นีโน่ แทรป เฮาส์ สตูดิโอ จำกัด,,322/58  หมู่บ้านพาทิโอ พัฒนาการ 32  ซอยพัฒนาการ 32,,เขตสวนหลวง,,,,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20093,1,,,25087TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:12.147+00,2024-06-05 00:00:00+00,0,0,,,,0105562071664,0,,,,10250,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,CDED48A1-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:46.633+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:12.15+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
